Nodo,CODIGO COMPLETO,Poblacion total,Poblacion de 0 a 14 anos,Poblacion de 60 anos y mas,Poblacion femenina de 15 a 49 anos,Poblacion con discapacidad,Poblacion no vulnerable,Columna1,Longitud,Latitud,Demanda
97,1903600010120029,2,0,0,0,0,2,"-100.115805777153469, 23.419853145743165",-100.115805777153,23.4198531457431,1
98,1903600010120030,12,0,0,0,0,12,"-100.115076216306392, 23.419754696087217",-100.115076216306,23.4197546960872,3
99,1903600010120031,16,0,0,0,0,16,"-100.116921576103991, 23.419223066680480",-100.116921576103,23.4192230666804,4
100,1903600010120032,4,0,0,0,0,4,"-100.116041811551511, 23.418986786258323",-100.116041811551,23.4189867862583,1
101,1903600010120033,0,0,0,0,0,0,"-100.117071779809379, 23.418376393214658",-100.117071779809,23.4183763932146,0
102,1903600010120034,12,0,0,0,0,12,"-100.118144663418079, 23.416761791584221",-100.118144663418,23.4167617915842,3
103,1903600010120035,16,5,0,5,0,6,"-100.117157610502019, 23.417411572658398",-100.117157610502,23.4174115726583,4
104,1903600010120036,23,11,0,5,0,7,"-100.116149099915077, 23.418081040730655",-100.116149099915,23.4180810407306,5
105,1903600010120037,0,0,0,0,0,0,"-100.111057692840177, 23.422453224040051",-100.11105769284,23.42245322404,0
106,1903600010120038,0,0,0,0,0,0,"-100.113267833070296, 23.422335086766768",-100.11326783307,23.4223350867667,0
107,1903600010120040,0,0,0,0,0,0,"-100.115226420011780, 23.418868645888988",-100.115226420011,23.4188686458889,0
108,1903600010120041,15,9,0,5,0,1,"-100.115505369751645, 23.417825068043914",-100.115505369751,23.4178250680439,3
109,1903600010120042,0,0,0,0,0,0,"-100.119196089355853, 23.416013554878468",-100.119196089355,23.4160135548784,0
110,1903600010120043,4,0,0,0,0,4,"-100.118251951781644, 23.415895411853914",-100.118251951781,23.4158954118539,1
112,1903600010101017,0,0,0,0,0,0,"-100.114962351008316, 23.426638059691015",-100.114962351008,23.426638059691,0
113,1903600010135002,0,0,0,0,0,0,"-100.119174631675961, 23.423200390437056",-100.119174631675,23.423200390437,0
114,1903600010135003,11,0,0,0,0,11,"-100.118294867123481, 23.423003496034724",-100.118294867123,23.4230034960347,3
115,1903600010135004,15,3,4,3,0,5,"-100.117307814207422, 23.422806601340103",-100.117307814207,23.4228066013401,3
116,1903600010135005,8,0,4,0,0,4,"-100.120183142271884, 23.422511258748134",-100.120183142271,23.4225112587481,2
117,1903600010135006,27,3,7,7,0,10,"-100.119324835381349, 23.422334052876391",-100.119324835381,23.4223340528763,6
118,1903600010135007,14,3,3,3,0,5,"-100.118380697807140, 23.422176536346360",-100.118380697807,23.4221765363463,3
119,1903600010135008,21,5,9,4,3,0,"-100.117479475583750, 23.421959950812195",-100.117479475583,23.4219599508121,5
120,1903600010135009,11,0,4,3,4,0,"-100.120354803648198, 23.421625227015202",-100.120354803648,23.4216252270152,3
121,1903600010135010,29,8,7,7,3,4,"-100.119410666074003, 23.421467709641014",-100.119410666074,23.421467709641,6
122,1903600010135011,11,3,0,0,0,8,"-100.118487986170706, 23.421310192080067",-100.11848798617,23.42131019208,3
124,1903600010135013,3,0,0,0,0,3,"-100.120419176660960, 23.420758879137004",-100.12041917666,23.420758879137,1
125,1903600010135014,0,0,0,0,0,0,"-100.119582327450303, 23.420542291281432",-100.11958232745,23.4205422912814,0
126,1903600010135015,2,0,0,0,0,2,"-100.118616732205183, 23.420443842138390",-100.118616732205,23.4204438421383,1
127,1903600010135016,0,0,0,0,0,0,"-100.117736967643722, 23.420227253766154",-100.117736967643,23.4202272537661,0
128,1903600010135017,10,0,0,0,0,10,"-100.120526465024525, 23.419892525584359",-100.120526465024,23.4198925255843,2
129,1903600010135018,8,0,0,0,0,8,"-100.119603785121228, 23.419675936310192",-100.119603785121,23.4196759363101,2
130,1903600010135019,9,0,0,0,0,9,"-100.118681105217931, 23.419518416614657",-100.118681105217,23.4195184166146,2
131,1903600010135020,11,0,0,0,0,11,"-100.117801340665451, 23.419321516732079",-100.117801340665,23.419321516732,3
132,1903600010135021,5,0,0,0,0,5,"-100.120698126400839, 23.418986786258323",-100.1206981264,23.4189867862583,1
